Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen
Artesia,http://artesia.ovi.cnr.it/,True,,False,,False,Italian DH Institutions,,False,,2017-04-21 18:29:28,2024-12-17 02:58:32
"Linea: per un portale della letteratura italiana del
Novecento",https://linea.unict.it,True,,False,,False,Italian DH Institutions,,False,,2022-01-20 22:55:43,2024-09-10 23:54:37
Poichilia,https://poichilia.unict.it,True,,False,,False,Italian DH Institutions,,False,,2013-01-22 01:20:04,2024-06-30 10:47:55
Alessandro Manzoni,https://www.alessandromanzoni.org,True,,False,,False,Italian DH Institutions,,False,,2022-06-26 01:07:51,2023-06-09 20:17:14
The nuncio's secret archives,,False,https://nsa.unipr.it,True,,False,Italian DH Institutions,,False,,2023-01-10 23:46:29,2023-08-01 19:48:33
Archilochus,,False,https://www.clarin.eu/content/archilochus-paros-elegiac-fragments-xml-archive,True,,False,Italian DH Institutions,,False,,2011-04-25 12:47:05,2024-12-15 10:24:09
Tebtynis: fragmentary voices from the past,http://www.papirologia.unipr.it/ricerca/CPGM/index.html,False,,False,,False,Italian DH Institutions,,False,error 404,,
"dante depicted: a commentary on image, text, and exegesis around the commedia",https://dante.khi.fi.it/,True,,False,,False,Italian DH Institutions,,False,,2021-04-23 05:06:46,2024-05-23 18:33:18
gigapixel images,https://virtualphotothek.khi.fi.it/gigapixel/,True,,False,,False,Italian DH Institutions,,False,,,
digitizing the die kirchen von siena project,https://sienaproject.khi.fi.it/,True,,False,,False,Italian DH Institutions,,False,,2023-03-09 09:56:49,2024-12-18 04:57:14
virtual repository of photographers' sales catalogues,https://virtualphotothek.khi.fi.it/catalogues/publisher,True,,False,,False,Italian DH Institutions,,False,,2022-08-31 15:41:18,2022-08-31 15:41:18
digital photothek,http://photothek.khi.fi.it/?Language=en,True,,False,,False,Italian DH Institutions,,False,,2022-08-11 05:58:59,2024-12-14 05:03:16
university research funding patent,,False,https://dh.fbk.eu/2020/11/university-research-funding-patenting-and-technological-impact/,True,,False,Italian DH Institutions,,False,"solo sito vetrina, il progetto verrà caricato presto (chiuso nel 2020)",,
